"No","Opening Date","Withdrawl Date","Days","Financial Year","Earnings.Type","Gross Earnings","Profit","Cut.Start","Cut.End"
105,12-Apr-07,12-Aug-09,853,2010,"S",827185,219985.0000,200000.0000,300000.0000
86,24-Apr-07,07-Nov-07,197,2008,"WD",0,-41257.4300,-22000.0000,-42000.0000
92,08-May-07,21-Nov-08,563,2009,"S",6345197,5939560.2500,4700000.0000,6120000.0000
114,11-May-07,16-Dec-09,950,2010,"WD",0,-36921.6700,-22000.0000,-42000.0000
85,28-May-07,02-Aug-07,66,2008,"WD",0,-30249.0000,-22000.0000,-42000.0000
87,15-Jun-07,28-Feb-08,258,2008,"WD",0,-16914.4000,0.0000,-20000.0000
88,27-Jun-07,04-Apr-08,282,2008,"WD",0,-24938.8700,-22000.0000,-42000.0000
95,18-Jul-07,19-Jun-08,337,2008,"WD",56795,6926.1200,0.0000,30000.0000
80,29-Jul-07,21-May-08,297,2008,"S",49699,4975.5700,0.0000,30000.0000
98,18-Oct-07,15-Oct-08,363,2009,"S",165943,129042.6500,122000.0000,200000.0000
84,16-Nov-07,04-Apr-08,140,2008,"S",0,-149060.6100,-110000.0000,-196000.0000
102,06-Dec-07,07-May-09,518,2009,"S",237073,57396.8600,36000.0000,101000.0000
111,18-Dec-07,21-Mar-08,94,2008,"WD",106358,0.3100,0.0000,30000.0000
147,27-Mar-08,19-Jun-12,1545,2012,"S",61033655.41,44380266.3600,44000000.0000,45000000.0000
152,07-Apr-08,15-Mar-12,1438,2012,"WD",0,-175036.0400,-110000.0000,-196000.0000
142,21-May-08,13-Mar-12,1392,2012,"S",4322011,1811429.3900,1650000.0000,2000000.0000
107,09-Sep-08,04-Aug-09,329,2010,"S",6190537.28,2075814.1600,2070000.0000,3000000.0000
130,11-Sep-08,25-Mar-11,925,2011,"S",25589523.6,19718809.1100,19000000.0000,21000000.0000
126,17-Nov-08,01-Nov-11,1079,2012,"W",1161271,-1967031.0000,-1533000.0000,-2012000.0000
137,11-Dec-08,01-Jul-11,932,2012,"S",15820188,13876110.9000,11000000.0000,14000000.0000
143,28-Jan-09,14-Dec-11,1050,2012,"W",15460564,11167248.7300,11000000.0000,14000000.0000
128,11-Mar-09,13-Aug-10,520,2011,"S",2464350,1892654.0000,1650000.0000,2000000.0000
115,22-May-09,24-Sep-09,125,2010,"WD",0,-2492.6500,0.0000,-20000.0000
166,15-Jun-09,30-Dec-13,1659,2014,"S",38166855.3,30826743.9100,30000000.0000,31000000.0000
129,14-Jul-09,19-Oct-10,462,2011,"L",0,-253393.4000,-227000.0000,-501000.0000
